anime_id,character_id,role
28977,7,Main
28977,9,Unknown
28977,10,Main
28977,9,Unknown
28977,12,Main
28977,9,Unknown
28977,14,Supporting
28977,9,Unknown
28977,16,Supporting
28977,9,Unknown
28977,18,Supporting
28977,9,Unknown
28977,20,Supporting
28977,9,Unknown
28977,22,Supporting
28977,9,Unknown
28977,24,Supporting
28977,9,Unknown
28977,26,Supporting
28977,9,Unknown
57555,37,Main
57555,9,Unknown
57555,39,Main
57555,9,Unknown
57555,41,Supporting
57555,9,Unknown
57555,43,Supporting
57555,9,Unknown
57555,45,Supporting
57555,9,Unknown
57555,47,Supporting
57555,9,Unknown
57555,49,Supporting
57555,9,Unknown
57555,51,Supporting
57555,9,Unknown
57555,53,Supporting
57555,9,Unknown
57555,55,Supporting
57555,9,Unknown
11061,66,Main
11061,9,Unknown
11061,68,Main
11061,9,Unknown
11061,70,Main
11061,9,Unknown
11061,72,Main
11061,9,Unknown
11061,74,Supporting
11061,9,Unknown
11061,76,Supporting
11061,9,Unknown
11061,78,Supporting
11061,9,Unknown
11061,80,Supporting
11061,9,Unknown
11061,82,Supporting
11061,9,Unknown
11061,84,Supporting
11061,9,Unknown
52991,93,Main
52991,9,Unknown
52991,95,Main
52991,9,Unknown
52991,97,Main
52991,9,Unknown
52991,99,Supporting
52991,9,Unknown
52991,101,Supporting
52991,9,Unknown
52991,103,Supporting
52991,9,Unknown
52991,105,Supporting
52991,9,Unknown
52991,107,Supporting
52991,9,Unknown
52991,109,Supporting
52991,9,Unknown
52991,111,Supporting
52991,9,Unknown
9969,7,Main
9969,9,Unknown
9969,10,Main
9969,9,Unknown
9969,12,Main
9969,9,Unknown
9969,14,Supporting
9969,9,Unknown
9969,16,Supporting
9969,9,Unknown
9969,18,Supporting
9969,9,Unknown
9969,20,Supporting
9969,9,Unknown
9969,22,Supporting
9969,9,Unknown
9969,24,Supporting
9969,9,Unknown
9969,26,Supporting
9969,9,Unknown
15417,7,Main
15417,9,Unknown
15417,10,Main
15417,9,Unknown
15417,12,Main
15417,9,Unknown
15417,14,Supporting
15417,9,Unknown
15417,16,Supporting
15417,9,Unknown
15417,18,Supporting
15417,9,Unknown
15417,20,Supporting
15417,9,Unknown
15417,22,Supporting
15417,9,Unknown
