anime_id,genre
28977,Action Action
28977,Comedy Comedy
28977,Sci-Fi Sci-Fi
28977,Theme::Gag Humor Gag Humor
28977,Theme::Historical Historical
28977,Theme::Parody Parody
28977,Theme::Samurai Samurai
28977,Demographic::Shounen Shounen
57555,Action Action
57555,Fantasy Fantasy
57555,Theme::Gore Gore
57555,Theme::Urban Fantasy Urban Fantasy
57555,Demographic::Shounen Shounen
11061,Action Action
11061,Adventure Adventure
11061,Fantasy Fantasy
11061,Demographic::Shounen Shounen
52991,Adventure Adventure
52991,Drama Drama
52991,Fantasy Fantasy
52991,Demographic::Shounen Shounen
9969,Action Action
9969,Comedy Comedy
9969,Sci-Fi Sci-Fi
9969,Theme::Gag Humor Gag Humor
9969,Theme::Historical Historical
9969,Theme::Parody Parody
9969,Theme::Samurai Samurai
9969,Demographic::Shounen Shounen
15417,Action Action
15417,Comedy Comedy
15417,Sci-Fi Sci-Fi
15417,Theme::Gag Humor Gag Humor
15417,Theme::Historical Historical
15417,Theme::Parody Parody
15417,Theme::Samurai Samurai
15417,Demographic::Shounen Shounen
39486,Action Action
39486,Comedy Comedy
39486,Drama Drama
39486,Sci-Fi Sci-Fi
39486,Theme::Gag Humor Gag Humor
39486,Theme::Historical Historical
39486,Theme::Parody Parody
39486,Theme::Samurai Samurai
39486,Demographic::Shounen Shounen
38524,Action Action
38524,Drama Drama
38524,Suspense Suspense
38524,Theme::Gore Gore
38524,Theme::Military Military
38524,Theme::Survival Survival
38524,Demographic::Shounen Shounen
34096,Action Action
34096,Comedy Comedy
34096,Sci-Fi Sci-Fi
34096,Theme::Gag Humor Gag Humor
34096,Theme::Historical Historical
34096,Theme::Parody Parody
34096,Theme::Samurai Samurai
34096,Demographic::Shounen Shounen
41467,Action Action
41467,Adventure Adventure
41467,Supernatural Supernatural
41467,Demographic::Shounen Shounen
5114,Action Action
5114,Adventure Adventure
5114,Drama Drama
5114,Fantasy Fantasy
5114,Demographic::Shounen Shounen
43608,Comedy Comedy
43608,Romance Romance
43608,Demographic::Seinen Seinen
918,Action Action
918,Comedy Comedy
918,Sci-Fi Sci-Fi
918,Theme::Gag Humor Gag Humor
918,Theme::Historical Historical
918,Theme::Parody Parody
918,Theme::Samurai Samurai
918,Demographic::Shounen Shounen
4181,Drama Drama
4181,Romance Romance
58514,Drama Drama
58514,Mystery Mystery
58514,Theme::Historical Historical
58514,Theme::Medical Medical
2904,Award Winning Award Winning
2904,Drama Drama
2904,Sci-Fi Sci-Fi
2904,Theme::Mecha Mecha
2904,Theme::Military Military
2904,Theme::Super Power Super Power
820,Drama Drama
820,Sci-Fi Sci-Fi
820,Theme::Adult Cast Adult Cast
820,Theme::Military Military
820,Theme::Space Space
15335,Action Action
15335,Comedy Comedy
15335,Sci-Fi Sci-Fi
15335,Theme::Gag Humor Gag Humor
15335,Theme::Historical Historical
15335,Theme::Parody Parody
15335,Theme::Samurai Samurai
15335,Theme::Time Travel Time Travel
15335,Demographic::Shounen Shounen
28851,Award Winning Award Winning
28851,Drama Drama
28851,Demographic::Shounen Shounen
61517,Theme::Historical Historical
61517,Theme::Military Military
61517,Demographic::Seinen Seinen
19,Drama Drama
19,Mystery Mystery
19,Suspense Suspense
19,Theme::Adult Cast Adult Cast
19,Theme::Psychological Psychological
19,Demographic::Seinen Seinen
60098,Theme::School School
60098,Theme::Super Power Super Power
60098,Demographic::Shounen Shounen
54492,Drama Drama
54492,Mystery Mystery
54492,Theme::Historical Historical
54492,Theme::Medical Medical
60022,Action Action
60022,Adventure Adventure
60022,Fantasy Fantasy
60022,Demographic::Shounen Shounen
35180,Theme::Childcare Childcare
35180,Theme::Strategy Game Strategy Game
35180,Demographic::Seinen Seinen
40682,Theme::Historical Historical
40682,Theme::Military Military
40682,Demographic::Seinen Seinen
37987,Award Winning Award Winning
37987,Drama Drama
51535,Action Action
51535,Drama Drama
51535,Suspense Suspense
51535,Theme::Gore Gore
51535,Theme::Military Military
51535,Theme::Survival Survival
51535,Demographic::Shounen Shounen
9253,Drama Drama
9253,Sci-Fi Sci-Fi
9253,Suspense Suspense
9253,Theme::Psychological Psychological
9253,Theme::Time Travel Time Travel
42938,Drama Drama
42938,Romance Romance
42938,Supernatural Supernatural
42938,Demographic::Shoujo Shoujo
37491,Action Action
37491,Comedy Comedy
37491,Sci-Fi Sci-Fi
37491,Theme::Gag Humor Gag Humor
37491,Theme::Historical Historical
37491,Theme::Parody Parody
37491,Theme::Samurai Samurai
37491,Demographic::Shounen Shounen
35247,Comedy Comedy
35247,Mystery Mystery
35247,Supernatural Supernatural
31758,Action Action
31758,Mystery Mystery
31758,Supernatural Supernatural
59571,Action Action
59571,Drama Drama
59571,Suspense Suspense
59571,Theme::Gore Gore
59571,Theme::Military Military
59571,Theme::Survival Survival
59571,Demographic::Shounen Shounen
32281,Award Winning Award Winning
32281,Drama Drama
60489,Drama Drama
60489,Sci-Fi Sci-Fi
60489,Theme::Psychological Psychological
60489,Theme::Time Travel Time Travel
60489,Demographic::Shounen Shounen
37510,Action Action
37510,Comedy Comedy
37510,Supernatural Supernatural
263,Demographic::Shounen Shounen
2921,Drama Drama
2921,Sports Sports
2921,Demographic::Shounen Shounen
37521,Action Action
37521,Adventure Adventure
