anime_id,company_id,role
28977,1,Studio
28977,2,Producer
28977,3,Producer
28977,4,Producer
28977,5,Licensor
28977,6,Licensor
57555,32,Studio
57555,33,Producer
57555,34,Producer
57555,35,Licensor
57555,36,Licensor
11061,61,Studio
11061,62,Producer
11061,63,Producer
11061,64,Producer
11061,65,Licensor
52991,61,Studio
52991,3,Producer
52991,4,Producer
52991,90,Producer
52991,63,Producer
52991,91,Producer
52991,92,Producer
52991,6,Licensor
9969,117,Studio
9969,2,Producer
9969,3,Producer
9969,4,Producer
9969,118,Producer
9969,119,Producer
9969,64,Producer
9969,35,Licensor
9969,36,Licensor
15417,117,Studio
15417,2,Producer
15417,3,Producer
15417,4,Producer
15417,64,Producer
15417,124,Producer
15417,35,Licensor
15417,36,Licensor
39486,1,Studio
39486,2,Producer
39486,3,Producer
39486,4,Producer
39486,127,Producer
39486,128,Producer
39486,64,Producer
39486,129,Licensor
38524,132,Studio
38524,133,Producer
38524,4,Producer
38524,134,Producer
38524,135,Producer
38524,136,Producer
38524,137,Producer
38524,138,Producer
38524,5,Licensor
34096,1,Studio
34096,2,Producer
34096,3,Producer
34096,4,Producer
34096,64,Producer
34096,35,Licensor
34096,36,Licensor
41467,169,Studio
41467,2,Producer
41467,3,Producer
41467,4,Producer
41467,64,Producer
41467,65,Licensor
5114,191,Studio
5114,3,Producer
5114,192,Producer
5114,134,Producer
5114,137,Producer
5114,5,Licensor
5114,193,Licensor
43608,210,Studio
43608,3,Producer
43608,134,Producer
43608,211,Producer
43608,64,Producer
43608,212,Producer
43608,193,Licensor
918,117,Studio
918,2,Producer
918,3,Producer
918,4,Producer
918,118,Producer
918,119,Producer
918,64,Producer
918,233,Licensor
918,6,Licensor
4181,236,Studio
4181,135,Producer
4181,237,Producer
4181,238,Producer
4181,239,Producer
4181,233,Licensor
58514,261,Studio
58514,262,Studio
58514,4,Producer
58514,192,Producer
58514,63,Producer
58514,91,Producer
58514,263,Producer
58514,92,Producer
58514,264,Producer
58514,35,Licensor
58514,36,Licensor
2904,117,Studio
2904,285,Producer
2904,134,Producer
2904,127,Producer
2904,286,Producer
2904,287,Producer
2904,5,Licensor
2904,288,Licensor
820,311,Studio
820,312,Studio
820,2,Producer
820,313,Producer
820,314,Producer
820,315,Producer
820,316,Producer
820,233,Licensor
15335,117,Studio
15335,2,Producer
15335,3,Producer
15335,4,Producer
15335,127,Producer
15335,128,Producer
15335,64,Producer
15335,35,Licensor
15335,36,Licensor
28851,236,Studio
28851,343,Producer
28851,135,Producer
28851,136,Producer
28851,344,Producer
28851,345,Producer
28851,129,Licensor
28851,346,Licensor
28851,347,Licensor
61517,169,Studio
61517,369,Studio
61517,370,Producer
61517,64,Producer
61517,371,Producer
