character_id,person_id,language
7,8,Japanese
10,11,Japanese
12,13,Japanese
14,15,Japanese
16,17,Japanese
18,19,Japanese
20,21,Japanese
22,23,Japanese
24,25,Japanese
26,27,Japanese
37,38,Japanese
39,40,Japanese
41,42,Japanese
43,44,Japanese
45,46,Japanese
47,48,Japanese
49,50,Japanese
51,52,Japanese
53,54,Japanese
55,56,Japanese
66,67,Japanese
68,69,Japanese
70,71,Japanese
72,73,Japanese
74,75,Japanese
76,77,Japanese
78,79,Japanese
80,81,Japanese
82,83,Japanese
84,85,Japanese
93,94,Japanese
95,96,Japanese
97,98,Japanese
99,100,Japanese
101,102,Japanese
103,104,Japanese
105,106,Japanese
107,108,Japanese
109,110,Japanese
111,112,Japanese
7,8,Japanese
10,11,Japanese
12,13,Japanese
14,15,Japanese
16,17,Japanese
18,19,Japanese
20,21,Japanese
22,23,Japanese
24,25,Japanese
26,27,Japanese
7,8,Japanese
10,11,Japanese
12,13,Japanese
14,15,Japanese
16,17,Japanese
18,19,Japanese
20,21,Japanese
22,23,Japanese
24,25,Japanese
7,8,Japanese
10,11,Japanese
12,13,Japanese
14,15,Japanese
16,17,Japanese
18,19,Japanese
20,21,Japanese
22,23,Japanese
24,25,Japanese
26,27,Japanese
139,140,Japanese
141,142,Japanese
143,144,Japanese
145,146,Japanese
147,148,Japanese
149,150,Japanese
151,152,Japanese
153,154,Japanese
155,156,Japanese
157,158,Japanese
7,8,Japanese
10,11,Japanese
14,15,Japanese
20,21,Japanese
12,13,Japanese
26,27,Japanese
163,164,Japanese
165,166,Japanese
167,168,Japanese
170,171,Japanese
172,173,Japanese
174,23,Japanese
175,166,Japanese
176,177,Japanese
178,179,Japanese
180,150,Japanese
181,182,Japanese
183,184,Japanese
185,186,Japanese
194,150,Japanese
195,11,Japanese
196,166,Japanese
197,73,Japanese
198,110,Japanese
199,179,Japanese
200,79,Japanese
201,202,Japanese
203,204,Japanese
205,206,Japanese
213,214,Japanese
215,216,Japanese
217,218,Japanese
219,220,Japanese
221,222,Japanese
223,224,Japanese
225,226,Japanese
227,21,Japanese
228,229,Japanese
230,96,Japanese
7,8,Japanese
10,11,Japanese
12,13,Japanese
14,15,Japanese
16,17,Japanese
18,19,Japanese
20,21,Japanese
22,23,Japanese
24,25,Japanese
26,27,Japanese
240,110,Japanese
241,242,Japanese
243,244,Japanese
245,246,Japanese
247,248,Japanese
249,250,Japanese
251,182,Japanese
252,253,Japanese
254,13,Japanese
255,256,Japanese
265,266,Japanese
267,268,Japanese
269,270,Japanese
271,94,Japanese
272,270,Japanese
273,274,Japanese
275,276,Japanese
277,278,Japanese
279,144,Japanese
280,25,Japanese
289,290,Japanese
291,292,Japanese
293,294,Japanese
295,296,Japanese
297,298,Japanese
299,179,Japanese
300,301,Japanese
302,303,Japanese
304,305,Japanese
306,307,Japanese
317,318,Japanese
319,320,Japanese
321,322,Japanese
323,324,Japanese
325,326,Japanese
327,328,Japanese
329,330,Japanese
331,332,Japanese
333,334,Japanese
335,336,Japanese
7,8,Japanese
10,11,Japanese
12,13,Japanese
14,15,Japanese
16,17,Japanese
18,19,Japanese
