anime_id,person_id,role
28977,28,Producer
28977,29,"Director, Storyboard, Key Animation"
28977,30,Sound Director
28977,31,Episode Director
57555,57,Producer
57555,58,Producer
57555,59,Producer
57555,60,Assistant Producer
11061,86,Producer
11061,87,"Producer, Planning"
11061,88,Producer
11061,89,Producer
52991,113,Producer
52991,114,Producer
52991,115,Producer
52991,116,Producer
9969,120,Producer
9969,121,Producer
9969,122,"Director, Episode Director, Storyboard"
9969,123,Sound Director
15417,121,Producer
15417,126,Producer
15417,122,"Director, Episode Director, Storyboard"
15417,29,"Episode Director, Storyboard"
39486,130,Producer
39486,29,"Director, Storyboard, Series Composition, Screenplay"
39486,30,Sound Director
39486,131,"Episode Director, Storyboard, Animation Director, Key Animation"
38524,159,Producer
38524,160,Producer
38524,161,Producer
38524,162,Producer
34096,121,Producer
34096,29,Director
34096,30,Sound Director
34096,123,"Sound Director, Sound Supervisor"
41467,187,Producer
41467,188,Producer
41467,189,Producer
41467,190,Producer
5114,159,Producer
5114,207,Producer
5114,208,Producer
5114,209,Producer
43608,161,Producer
43608,187,Producer
43608,231,Producer
43608,232,Producer
918,30,"Co-Director, Director, Storyboard, Animation Director"
918,234,Producer
918,235,Producer
918,120,Producer
4181,257,Producer
4181,258,Producer
4181,259,Producer
4181,260,Producer
58514,281,Producer
58514,282,Producer
58514,283,Producer
58514,284,Producer
2904,308,Producer
2904,309,Producer
2904,310,Producer
2904,161,Assistant Producer
820,337,Producer
820,338,Producer
820,339,Producer
820,340,Producer
15335,121,Producer
15335,342,Producer
15335,122,"Director, Episode Director, Storyboard"
15335,123,Sound Director
28851,258,Producer
28851,366,Producer
28851,367,Producer
28851,368,Producer
61517,388,Producer
61517,389,Producer
61517,390,Producer
61517,391,Producer
19,86,Producer
19,87,Producer
19,412,Producer
19,413,Producer
60098,436,Producer
60098,437,Producer
60098,438,Producer
60098,439,Producer
54492,281,Producer
54492,282,Producer
54492,283,Producer
54492,235,Producer
60022,459,Producer
60022,460,Producer
60022,461,Assistant Producer
60022,462,Director
35180,482,Producer
35180,483,Producer
35180,484,Producer
35180,485,Producer
40682,159,Producer
40682,490,Producer
40682,390,Producer
40682,389,Producer
37987,258,Producer
37987,506,Producer
37987,507,Producer
37987,508,Producer
51535,159,Producer
51535,161,Producer
51535,509,Producer
51535,510,"Producer, Planning, Executive Producer"
9253,159,Producer
9253,535,Producer
9253,536,Producer
9253,537,Producer
42938,159,"Producer, Inserted Song Performance"
42938,559,Producer
42938,439,Producer
42938,560,Producer
37491,121,Producer
37491,29,"Director, Storyboard"
37491,122,"Episode Director, Storyboard"
37491,561,Episode Director
35247,575,Producer
35247,576,Producer
35247,577,Producer
35247,578,"Director, Series Composition"
31758,575,Producer
31758,576,Producer
31758,577,Producer
31758,231,Assistant Producer
59571,510,"Producer, Planning"
59571,582,Producer
59571,583,Producer
59571,584,"Director, Episode Director, Storyboard, Screenplay"
32281,608,Producer
32281,609,"Producer, Planning"
32281,610,Producer
32281,611,Producer
60489,631,Producer
60489,632,Producer
60489,633,Assistant Producer
60489,634,"Director, Episode Director, Script, Storyboard, Series Composition"
37510,608,Producer
37510,652,"Producer, Planning"
37510,653,Producer
37510,654,Producer
263,86,Producer
263,87,Producer
263,671,Producer
263,672,Producer
2921,695,"Director, Storyboard"
2921,696,Episode Director
2921,697,"Episode Director, Storyboard"
2921,698,Script
37521,715,Producer
37521,716,Producer
37521,582,"Producer, Production Assistant"
37521,717,Assistant Producer
17074,575,Producer
17074,576,Producer
17074,577,Producer
17074,720,Assistant Producer
1,159,Producer
1,308,Producer
1,652,Producer
1,739,Producer
40028,159,Producer
40028,161,Producer
40028,509,Producer
40028,510,"Producer, Planning Producer, Executive Producer"
50160,391,Producer
50160,740,Producer
50160,741,Producer
50160,390,Producer
47917,761,Producer
47917,762,Producer
47917,231,Producer
47917,763,"Director, Episode Director, Storyboard, Key Animation"
36838,121,Producer
36838,29,Director
36838,764,"Episode Director, Storyboard"
36838,561,Episode Director
49387,510,Producer
49387,715,Producer
49387,582,"Producer, Production Manager"
49387,771,Producer
53223,391,Producer
53223,741,Producer
53223,780,Producer
53223,389,Producer
52198,781,"Director, Storyboard"
52198,782,Sound Director
52198,783,"Episode Director, Storyboard"
52198,784,"Episode Director, Storyboard"
48569,801,Producer
48569,802,Producer
48569,803,"Director, Episode Director, Storyboard"
48569,782,Sound Director
24701,822,Producer
24701,823,Producer
24701,824,Producer
24701,825,Assistant Producer
39894,848,Producer
39894,849,Producer
39894,850,"Director, Episode Director, Storyboard"
39894,851,Sound Director
55690,871,Producer
55690,872,Producer
55690,873,Producer
55690,874,Producer
32935,161,Producer
32935,889,Producer
32935,890,Producer
32935,891,Producer
44074,910,"Director, Script, Planning"
44074,911,"Episode Director, Character Design, Animation Director, Chief Animation Director"
44074,912,Script
44074,913,Music
59192,926,Director
59192,927,"Director, Theme Song Lyrics"
59192,928,Theme Song Performance
59192,929,"Theme Song Arrangement, Music"
45649,948,"Director, Script, Original Creator"
45649,949,Sound Director
45649,950,"Episode Director, Key Animation"
45649,951,Episode Director
48583,159,Producer
48583,161,Producer
48583,509,Producer
48583,510,"Producer, Planning, Executive Producer"
50172,652,"Producer, Planning"
50172,653,Producer
50172,953,Producer
50172,654,Producer
199,974,Producer
199,975,Assistant Producer
199,976,"Director, Script, Storyboard, Original Creator"
199,977,"Theme Song Composition, Theme Song Performance"
21,159,Producer
21,986,"Producer, Publicity"
21,460,"Producer, Production Manager"
21,459,Producer
53447,910,"Director, Original Creator, Chief Producer"
53447,1000,Storyboard
53447,1001,"Theme Song Arrangement, Theme Song Composition, Music"
53447,1002,Theme Song Performance
47778,927,Producer
47778,1005,Producer
47778,1006,Producer
47778,1007,Producer
51009,57,Producer
51009,509,Producer
51009,510,Producer
51009,58,Producer
245,1038,Producer
245,1039,Producer
245,1040,"Director, Storyboard, Recording Engineer"
245,1041,"Episode Director, Storyboard"
53998,187,Producer
53998,188,Producer
53998,189,Producer
53998,190,Producer
40434,1058,Director
40434,1059,Script
40434,1060,Theme Song Performance
40434,1061,Theme Song Performance
164,974,Producer
164,976,"Director, Theme Song Lyrics, Screenplay, Creator"
164,1080,Script
164,1081,"Theme Song Arrangement, Theme Song Composition, Music"
33352,159,Producer
33352,258,Producer
33352,506,Producer
33352,507,Producer
44,1104,"Producer, Recording Engineer, ADR Director"
44,1105,Producer
44,1106,"Director, Episode Director, Storyboard"
44,1107,Sound Director
431,974,Producer
431,975,Assistant Producer
431,976,"Director, Script, Screenplay, Executive Producer"
431,1127,Episode Director
50399,910,Director
50399,1141,Theme Song Performance
50399,1142,Theme Song Performance
50399,1143,Theme Song Performance
33095,1160,Producer
33095,1161,Producer
33095,1162,Producer
33095,1163,Producer
457,159,Producer
457,342,Producer
457,1182,"Producer, Assistant Producer"
457,822,Producer
21939,824,Producer
21939,823,Producer
21939,822,Producer
21939,825,Assistant Producer
1575,308,Producer
1575,309,Producer
1575,310,Producer
1575,1193,"Director, Storyboard, Original Creator"
33050,1211,"Producer, Original Character Design"
33050,575,Producer
33050,927,Producer
33050,1212,Assistant Producer
52215,1228,Producer
52215,1229,Producer
52215,282,Producer
52215,1230,Producer
23273,1245,Producer
23273,1246,Producer
23273,509,Producer
23273,366,Producer
49818,1258,Producer
49818,1058,Director
49818,1259,Theme Song Performance
49818,1260,Music
57864,1265,Producer
57864,231,Producer
57864,483,Producer
57864,1266,Producer
49413,910,"Director, Script, Original Creator, Chief Producer"
49413,911,"Episode Director, Storyboard, Animation Director, Key Animation"
49413,1000,Storyboard
49413,913,Music
58125,1289,Producer
58125,1290,Producer
58125,1291,Producer
58125,1292,Assistant Producer
34599,1313,Producer
34599,1314,Producer
34599,1315,Producer
34599,1316,"Producer, Planning"
11665,1333,Producer
11665,1334,Producer
11665,1335,Producer
11665,1336,Producer
59845,1355,Producer
59845,1356,Producer
59845,1357,Producer
59845,1358,Producer
57647,1378,Producer
57647,1379,"Director, Episode Director, Storyboard, Animation Director, Key Animation"
57647,851,Sound Director
57647,1380,"Episode Director, Animation Director"
40591,161,Producer
40591,231,Producer
40591,1381,Producer
40591,232,Producer
5258,87,Producer
5258,413,Producer
5258,1383,Producer
5258,1384,"Director, Storyboard, Key Animation"
2001,1403,Producer
2001,1404,Producer
2001,1405,Producer
2001,1406,"Producer, Production Manager"
56784,1410,"Director, Episode Director, Script, Storyboard, Series Composition"
56784,1411,"Director, Episode Director, Storyboard"
56784,1412,Sound Director
56784,1413,"Episode Director, Storyboard, Chief Animation Director, Key Animation, Assistant Animation Director"
46102,1434,Producer
46102,1435,Producer
46102,1436,Producer
46102,1437,Producer
35760,159,Producer
35760,160,Producer
35760,161,Producer
35760,207,"Producer, Planning"
22135,159,Producer
22135,1457,Producer
22135,1458,Producer
22135,1459,"Director, Episode Director, Script, Storyboard, Series Composition, Key Animation"
45576,159,Producer
45576,1355,Producer
45576,1477,Producer
45576,1478,Producer
42310,1496,Producer
42310,1497,"Director, Storyboard, 2nd Key Animation, Animation Director"
42310,1498,Sound Director
42310,1499,"Episode Director, Storyboard, Key Animation"
33,88,Producer
33,1516,Producer
33,1517,"Director, Episode Director, Storyboard, Chief Animation Director, Key Animation"
33,1518,Episode Director
1535,86,Producer
1535,87,Producer
1535,88,Producer
1535,1536,Producer
58567,1556,Producer
58567,1557,Producer
58567,1558,Producer
58567,1559,Producer
28891,536,Producer
28891,161,Producer
28891,889,Producer
28891,891,Producer
52742,161,Producer
52742,889,Producer
